totalempreendimentos;DscClasseConsumo;MdaPotenciaInstaladaKW;SigUF
11;Comercial;110,00;TO
1;Comercial;1100,00;BA
1;Comercial;1100,00;MA
1;Comercial;1100,00;MG
1;Comercial;1100,00;RJ
1;Comercial;11,01;PE
2;Comercial;11,01;RS
1;Comercial;11,02;MT
1;Comercial;11,02;RS
1;Comercial;11,02;TO
1;Comercial;11,03;AM
2;Comercial;11,04;AL
4;Comercial;11,04;BA
1;Comercial;11,04;CE
5;Comercial;11,04;GO
5;Comercial;11,04;MG
1;Comercial;11,04;MT
1;Comercial;11,04;PA
1;Comercial;11,04;PB
1;Comercial;11,04;PE
2;Comercial;11,04;PI
2;Comercial;11,04;PR
1;Comercial;11,04;RJ
3;Comercial;11,04;RN
1;Comercial;11,04;RO
11;Comercial;11,04;RS
1;Comercial;11,04;SC
7;Comercial;11,04;SP
1;Comercial;11,04;TO
1;Comercial;110,40;MG
1;Comercial;110,40;RN
2;Comercial;11,05;BA
2;Comercial;11,05;CE
1;Comercial;11,05;MG
1;Comercial;11,05;PB
1;Comercial;11,05;PR
3;Comercial;11,05;RS
1;Comercial;11,05;SE
4;Comercial;11,05;SP
1;Comercial;11,06;GO
2;Comercial;11,06;SP
2;Comercial;11,07;MG
1;Comercial;11,07;PA
1;Comercial;11,07;PR
1;Comercial;11,07;RN
2;Comercial;11,07;RS
1;Comercial;11,08;MG
2;Comercial;110,80;CE
1;Comercial;110,88;MT
1;Comercial;1,11;AM
1;Comercial;1,11;MG
2;Comercial;11,10;AL
2;Comercial;11,10;BA
6;Comercial;11,10;GO
1;Comercial;11,10;MG
1;Comercial;11,10;MT
3;Comercial;11,10;PB
3;Comercial;11,10;PR
5;Comercial;11,10;RN
6;Comercial;11,10;RS
2;Comercial;11,10;SP
1;Comercial;11,10;TO
1;Comercial;111,00;ES
1;Comercial;111,00;MG
1;Comercial;111,00;MT
1;Comercial;111,00;PA
3;Comercial;111,00;PR
1;Comercial;111,00;RO
2;Comercial;111,00;RS
1;Comercial;111,00;SE
1;Comercial;111,00;SP
1;Comercial;111,00;TO
1;Comercial;11,11;PR
2;Comercial;11,11;RS
1;Comercial;111,15;MA
1;Comercial;11,12;GO
1;Comercial;11,12;MT
2;Comercial;11,12;PR
1;Comercial;11,12;RS
1;Comercial;11,12;SC
1;Comercial;11,12;SP
5;Comercial;111,21;PB
1;Comercial;11,13;AL
1;Comercial;11,13;BA
1;Comercial;11,13;CE
2;Comercial;11,13;ES
1;Comercial;11,13;MG
1;Comercial;11,13;MT
1;Comercial;11,13;PE
6;Comercial;11,13;RS
1;Comercial;111,50;PI
1;Comercial;11,16;ES
2;Comercial;11,16;MT
1;Comercial;11,16;PA
1;Comercial;11,16;PB
3;Comercial;11,16;PR
1;Comercial;11,16;RS
2;Comercial;11,16;SP
1;Comercial;11,18;RJ
1;Comercial;111,80;RS
1;Comercial;1,12;AP
1;Comercial;1,12;ES
2;Comercial;1,12;GO
1;Comercial;1,12;MG
1;Comercial;1,12;SC
1;Comercial;11,20;AM
10;Comercial;11,20;BA
1;Comercial;11,20;CE
1;Comercial;11,20;DF
1;Comercial;11,20;ES
5;Comercial;11,20;GO
2;Comercial;11,20;MA
15;Comercial;11,20;MG
5;Comercial;11,20;MS
2;Comercial;11,20;MT
3;Comercial;11,20;PB
3;Comercial;11,20;PE
2;Comercial;11,20;PI
6;Comercial;11,20;PR
1;Comercial;11,20;RJ
2;Comercial;11,20;RN
1;Comercial;11,20;RO
20;Comercial;11,20;RS
3;Comercial;11,20;SC
3;Comercial;11,20;SE
15;Comercial;11,20;SP
4;Comercial;112,00;CE
2;Comercial;112,00;GO
2;Comercial;112,00;MG
3;Comercial;112,00;MS
3;Comercial;112,00;MT
1;Comercial;112,00;PB
1;Comercial;112,00;PR
1;Comercial;112,00;RJ
1;Comercial;1120,00;SP
1;Comercial;11,21;BA
1;Comercial;11,21;CE
1;Comercial;11,21;MG
1;Comercial;11,21;PE
1;Comercial;11,21;PI
2;Comercial;11,21;RS
1;Comercial;11,21;SP
1;Comercial;112,12;MS
1;Comercial;11,22;AC
1;Comercial;11,22;AM
8;Comercial;11,22;BA
1;Comercial;11,22;CE
1;Comercial;11,22;DF
4;Comercial;11,22;GO
1;Comercial;11,22;MA
8;Comercial;11,22;MG
2;Comercial;11,22;MS
3;Comercial;11,22;MT
3;Comercial;11,22;PB
3;Comercial;11,22;PE
2;Comercial;11,22;PI
3;Comercial;11,22;PR
1;Comercial;11,22;RJ
3;Comercial;11,22;RN
27;Comercial;11,22;RS
11;Comercial;11,22;SC
5;Comercial;11,22;SP
2;Comercial;11,22;TO
1;Comercial;112,20;GO
2;Comercial;112,20;MT
1;Comercial;112,20;PR
1;Comercial;11,23;BA
1;Comercial;112,32;MA
2;Comercial;112,32;RS
1;Comercial;11,24;BA
1;Comercial;112,45;MG
3;Comercial;11,25;BA
1;Comercial;11,25;DF
2;Comercial;11,25;GO
1;Comercial;11,25;MG
1;Comercial;11,25;MS
2;Comercial;11,25;MT
3;Comercial;11,25;PB
1;Comercial;11,25;PI
1;Comercial;11,25;RN
3;Comercial;11,25;RS
1;Comercial;11,25;SC
1;Comercial;11,25;SP
1;Comercial;11,25;TO
2;Comercial;112,50;BA
1;Comercial;112,50;ES
6;Comercial;112,50;GO
1;Comercial;112,50;MG
1;Comercial;112,50;MT
1;Comercial;112,50;PR
